source_format,path,file_size,file_size_human,env_client,env_server,download_domain,download_url,sha1,sha512,projectID,fileID,required
curseforge-zip,,,,,,CurseForge API,,,,561885,6290217,True
curseforge-zip,,,,,,CurseForge API,,,,1009556,5572389,True
curseforge-zip,,,,,,CurseForge API,,,,416797,5142502,True
curseforge-zip,,,,,,CurseForge API,,,,580683,4606406,True
curseforge-zip,,,,,,CurseForge API,,,,380969,6444562,True
curseforge-zip,,,,,,CurseForge API,,,,459857,4810977,True
curseforge-zip,,,,,,CurseForge API,,,,433760,8274894,True
curseforge-zip,,,,,,CurseForge API,,,,495476,6918566,True
curseforge-zip,,,,,,CurseForge API,,,,614516,4670440,True
curseforge-zip,,,,,,CurseForge API,,,,416089,8280439,True
curseforge-zip,,,,,,CurseForge API,,,,1317593,7576800,True
curseforge-zip,,,,,,CurseForge API,,,,1317771,6883912,True
curseforge-zip,,,,,,CurseForge API,,,,488090,8028804,True
curseforge-zip,,,,,,CurseForge API,,,,507127,4767994,True
curseforge-zip,,,,,,CurseForge API,,,,306612,8073259,True
curseforge-zip,,,,,,CurseForge API,,,,1051342,7519088,True
curseforge-zip,,,,,,CurseForge API,,,,1308554,6793334,True
curseforge-zip,,,,,,CurseForge API,,,,1564378,8194739,True
curseforge-zip,,,,,,CurseForge API,,,,547434,7260491,True
curseforge-zip,,,,,,CurseForge API,,,,1021348,5638424,True
curseforge-zip,,,,,,CurseForge API,,,,521480,8274802,True
curseforge-zip,,,,,,CurseForge API,,,,388172,8285786,True
curseforge-zip,,,,,,CurseForge API,,,,333287,7956744,True
curseforge-zip,,,,,,CurseForge API,,,,1565164,8198547,True
curseforge-zip,,,,,,CurseForge API,,,,457570,5180902,True
curseforge-zip,,,,,,CurseForge API,,,,1340183,6960817,True
curseforge-zip,,,,,,CurseForge API,,,,1566209,8203496,True
curseforge-zip,,,,,,CurseForge API,,,,1158094,8237481,True
curseforge-zip,,,,,,CurseForge API,,,,551215,6184827,True
curseforge-zip,,,,,,CurseForge API,,,,546670,8265528,True
curseforge-zip,,,,,,CurseForge API,,,,1284211,8137148,True
curseforge-zip,,,,,,CurseForge API,,,,342584,8271946,True
curseforge-zip,,,,,,CurseForge API,,,,975120,5855462,True
curseforge-zip,,,,,,CurseForge API,,,,859798,4670750,True
curseforge-zip,,,,,,CurseForge API,,,,353890,6598272,True
curseforge-zip,,,,,,CurseForge API,,,,1308490,6778301,True
