source_format,path,file_size,file_size_human,env_client,env_server,download_domain,download_url,sha1,sha512,projectID,fileID,required
curseforge-zip,,,,,,CurseForge API,,,,284754,2725062,True
curseforge-zip,,,,,,CurseForge API,,,,427597,3136255,True
curseforge-zip,,,,,,CurseForge API,,,,678889,4370067,True
curseforge-zip,,,,,,CurseForge API,,,,252818,3812473,True
curseforge-zip,,,,,,CurseForge API,,,,315773,3341793,True
curseforge-zip,,,,,,CurseForge API,,,,238222,3043174,True
curseforge-zip,,,,,,CurseForge API,,,,238911,3711089,True
curseforge-zip,,,,,,CurseForge API,,,,407190,4448655,True
curseforge-zip,,,,,,CurseForge API,,,,517821,4325774,True
curseforge-zip,,,,,,CurseForge API,,,,313477,3002646,True
curseforge-zip,,,,,,CurseForge API,,,,310375,2683258,True
curseforge-zip,,,,,,CurseForge API,,,,224770,4486512,True
curseforge-zip,,,,,,CurseForge API,,,,280510,4427962,True
curseforge-zip,,,,,,CurseForge API,,,,237414,2505261,True
curseforge-zip,,,,,,CurseForge API,,,,246996,3440963,True
curseforge-zip,,,,,,CurseForge API,,,,253211,3308160,True
curseforge-zip,,,,,,CurseForge API,,,,279900,4469269,True
curseforge-zip,,,,,,CurseForge API,,,,238891,3098835,True
curseforge-zip,,,,,,CurseForge API,,,,257814,3626833,True
curseforge-zip,,,,,,CurseForge API,,,,245755,2859589,True
curseforge-zip,,,,,,CurseForge API,,,,489807,3334528,True
curseforge-zip,,,,,,CurseForge API,,,,361579,3542217,True
curseforge-zip,,,,,,CurseForge API,,,,253689,3648545,True
curseforge-zip,,,,,,CurseForge API,,,,256141,3107974,True
curseforge-zip,,,,,,CurseForge API,,,,252188,2801268,True
curseforge-zip,,,,,,CurseForge API,,,,248453,2785465,True
curseforge-zip,,,,,,CurseForge API,,,,350337,2834985,True
curseforge-zip,,,,,,CurseForge API,,,,291874,2799213,True
curseforge-zip,,,,,,CurseForge API,,,,60028,2659258,True
curseforge-zip,,,,,,CurseForge API,,,,310383,2660325,True
curseforge-zip,,,,,,CurseForge API,,,,345460,3932025,True
curseforge-zip,,,,,,CurseForge API,,,,274259,4507139,True
curseforge-zip,,,,,,CurseForge API,,,,624967,4486119,True
curseforge-zip,,,,,,CurseForge API,,,,255389,3507523,True
curseforge-zip,,,,,,CurseForge API,,,,423758,4448659,True
curseforge-zip,,,,,,CurseForge API,,,,235729,3152820,True
curseforge-zip,,,,,,CurseForge API,,,,264231,2693547,True
curseforge-zip,,,,,,CurseForge API,,,,676133,3987130,True
curseforge-zip,,,,,,CurseForge API,,,,60089,3359843,True
curseforge-zip,,,,,,CurseForge API,,,,307152,3177947,True
curseforge-zip,,,,,,CurseForge API,,,,303657,2704824,True
curseforge-zip,,,,,,CurseForge API,,,,311327,2660247,True
curseforge-zip,,,,,,CurseForge API,,,,543277,4442322,True
curseforge-zip,,,,,,CurseForge API,,,,258587,3487676,True
curseforge-zip,,,,,,CurseForge API,,,,238856,2950248,True
curseforge-zip,,,,,,CurseForge API,,,,278141,4467344,True
curseforge-zip,,,,,,CurseForge API,,,,227877,2817288,True
curseforge-zip,,,,,,CurseForge API,,,,446253,3554486,True
curseforge-zip,,,,,,CurseForge API,,,,243298,3116493,True
curseforge-zip,,,,,,CurseForge API,,,,260262,3459767,True
curseforge-zip,,,,,,CurseForge API,,,,223150,4356582,True
curseforge-zip,,,,,,CurseForge API,,,,223094,2923460,True
curseforge-zip,,,,,,CurseForge API,,,,290541,2815688,True
curseforge-zip,,,,,,CurseForge API,,,,248027,2816920,True
curseforge-zip,,,,,,CurseForge API,,,,255257,3507866,True
curseforge-zip,,,,,,CurseForge API,,,,226447,2477566,True
curseforge-zip,,,,,,CurseForge API,,,,264756,2732994,True
curseforge-zip,,,,,,CurseForge API,,,,224535,2443253,True
curseforge-zip,,,,,,CurseForge API,,,,289043,2983385,True
curseforge-zip,,,,,,CurseForge API,,,,639575,3858923,True
curseforge-zip,,,,,,CurseForge API,,,,257820,3561087,True
curseforge-zip,,,,,,CurseForge API,,,,262886,3459390,True
curseforge-zip,,,,,,CurseForge API,,,,236484,3850023,True
curseforge-zip,,,,,,CurseForge API,,,,326400,2911713,True
curseforge-zip,,,,,,CurseForge API,,,,226406,2857869,True
curseforge-zip,,,,,,CurseForge API,,,,307605,2733042,True
curseforge-zip,,,,,,CurseForge API,,,,251136,2763516,True
curseforge-zip,,,,,,CurseForge API,,,,407056,3093214,True
curseforge-zip,,,,,,CurseForge API,,,,243121,2924091,True
curseforge-zip,,,,,,CurseForge API,,,,709188,4102778,True
curseforge-zip,,,,,,CurseForge API,,,,563768,3591538,True
curseforge-zip,,,,,,CurseForge API,,,,813247,4375806,True
curseforge-zip,,,,,,CurseForge API,,,,251670,2573301,True
curseforge-zip,,,,,,CurseForge API,,,,252910,3041340,True
curseforge-zip,,,,,,CurseForge API,,,,222789,3025806,True
curseforge-zip,,,,,,CurseForge API,,,,676392,4434589,True
curseforge-zip,,,,,,CurseForge API,,,,360779,3613814,True
curseforge-zip,,,,,,CurseForge API,,,,684624,4203074,True
curseforge-zip,,,,,,CurseForge API,,,,238857,2863771,True
curseforge-zip,,,,,,CurseForge API,,,,227083,2518667,True
curseforge-zip,,,,,,CurseForge API,,,,278494,3973967,True
curseforge-zip,,,,,,CurseForge API,,,,309516,3570157,True
curseforge-zip,,,,,,CurseForge API,,,,228529,3393955,True
curseforge-zip,,,,,,CurseForge API,,,,237065,3331364,True
curseforge-zip,,,,,,CurseForge API,,,,250363,2746011,True
curseforge-zip,,,,,,CurseForge API,,,,229587,2698688,True
curseforge-zip,,,,,,CurseForge API,,,,408853,4439001,True
curseforge-zip,,,,,,CurseForge API,,,,734347,4486442,True
curseforge-zip,,,,,,CurseForge API,,,,306780,4389339,True
curseforge-zip,,,,,,CurseForge API,,,,284007,2843007,True
curseforge-zip,,,,,,CurseForge API,,,,227875,3431758,True
curseforge-zip,,,,,,CurseForge API,,,,815314,4358088,True
curseforge-zip,,,,,,CurseForge API,,,,357178,3437402,True
curseforge-zip,,,,,,CurseForge API,,,,262884,4167346,True
curseforge-zip,,,,,,CurseForge API,,,,227449,2514484,True
curseforge-zip,,,,,,CurseForge API,,,,319264,2698971,True
curseforge-zip,,,,,,CurseForge API,,,,318255,2747710,True
curseforge-zip,,,,,,CurseForge API,,,,348025,4436467,True
curseforge-zip,,,,,,CurseForge API,,,,373104,3575333,True
curseforge-zip,,,,,,CurseForge API,,,,311377,2859893,True
curseforge-zip,,,,,,CurseForge API,,,,239197,4459202,True
curseforge-zip,,,,,,CurseForge API,,,,286382,2815686,True
curseforge-zip,,,,,,CurseForge API,,,,304493,2666560,True
curseforge-zip,,,,,,CurseForge API,,,,627630,4005371,True
curseforge-zip,,,,,,CurseForge API,,,,405327,3045381,True
curseforge-zip,,,,,,CurseForge API,,,,281125,2722339,True
curseforge-zip,,,,,,CurseForge API,,,,260360,4469260,True
curseforge-zip,,,,,,CurseForge API,,,,351725,3383460,True
curseforge-zip,,,,,,CurseForge API,,,,331746,3568565,True
curseforge-zip,,,,,,CurseForge API,,,,389665,3247154,True
curseforge-zip,,,,,,CurseForge API,,,,237903,3330308,True
curseforge-zip,,,,,,CurseForge API,,,,580690,3650166,True
curseforge-zip,,,,,,CurseForge API,,,,225738,2503041,True
curseforge-zip,,,,,,CurseForge API,,,,522574,4501444,True
curseforge-zip,,,,,,CurseForge API,,,,367831,3543884,True
curseforge-zip,,,,,,CurseForge API,,,,376145,2931151,True
curseforge-zip,,,,,,CurseForge API,,,,271605,3176964,True
curseforge-zip,,,,,,CurseForge API,,,,227887,2790649,True
curseforge-zip,,,,,,CurseForge API,,,,409087,4433037,True
curseforge-zip,,,,,,CurseForge API,,,,308663,4406440,True
curseforge-zip,,,,,,CurseForge API,,,,237989,2782568,True
curseforge-zip,,,,,,CurseForge API,,,,494559,4442257,True
curseforge-zip,,,,,,CurseForge API,,,,307806,2820815,True
curseforge-zip,,,,,,CurseForge API,,,,231347,3573346,True
curseforge-zip,,,,,,CurseForge API,,,,373157,4414973,True
curseforge-zip,,,,,,CurseForge API,,,,318872,3146596,True
curseforge-zip,,,,,,CurseForge API,,,,245769,3519704,True
curseforge-zip,,,,,,CurseForge API,,,,232791,3330021,True
curseforge-zip,,,,,,CurseForge API,,,,244849,3554966,True
curseforge-zip,,,,,,CurseForge API,,,,313536,3568240,True
curseforge-zip,,,,,,CurseForge API,,,,271740,2707353,True
curseforge-zip,,,,,,CurseForge API,,,,269024,2861574,True
curseforge-zip,,,,,,CurseForge API,,,,285789,2641661,True
curseforge-zip,,,,,,CurseForge API,,,,250290,2916357,True
curseforge-zip,,,,,,CurseForge API,,,,320093,3602349,True
curseforge-zip,,,,,,CurseForge API,,,,344696,2825356,True
curseforge-zip,,,,,,CurseForge API,,,,74246,4094523,True
curseforge-zip,,,,,,CurseForge API,,,,276951,2880613,True
curseforge-zip,,,,,,CurseForge API,,,,235328,2573308,True
curseforge-zip,,,,,,CurseForge API,,,,319746,2701067,True
curseforge-zip,,,,,,CurseForge API,,,,273771,3517236,True
curseforge-zip,,,,,,CurseForge API,,,,557117,3566426,True
curseforge-zip,,,,,,CurseForge API,,,,279311,2549462,True
curseforge-zip,,,,,,CurseForge API,,,,283644,2694382,True
curseforge-zip,,,,,,CurseForge API,,,,556777,4344825,True
curseforge-zip,,,,,,CurseForge API,,,,289397,2960301,True
curseforge-zip,,,,,,CurseForge API,,,,267035,3574478,True
curseforge-zip,,,,,,CurseForge API,,,,273502,2835318,True
curseforge-zip,,,,,,CurseForge API,,,,229060,2801262,True
curseforge-zip,,,,,,CurseForge API,,,,375285,4448656,True
curseforge-zip,,,,,,CurseForge API,,,,819886,4475428,True
curseforge-zip,,,,,,CurseForge API,,,,238372,2595310,True
curseforge-zip,,,,,,CurseForge API,,,,679116,4178657,True
curseforge-zip,,,,,,CurseForge API,,,,242998,2851111,True
curseforge-zip,,,,,,CurseForge API,,,,711730,4611530,True
curseforge-zip,,,,,,CurseForge API,,,,309318,2820653,True
curseforge-zip,,,,,,CurseForge API,,,,638065,3852378,True
curseforge-zip,,,,,,CurseForge API,,,,344787,3007206,True
curseforge-zip,,,,,,CurseForge API,,,,303541,2636803,True
curseforge-zip,,,,,,CurseForge API,,,,289347,2644656,True
curseforge-zip,,,,,,CurseForge API,,,,254441,2632107,True
curseforge-zip,,,,,,CurseForge API,,,,532127,4358246,True
curseforge-zip,,,,,,CurseForge API,,,,257356,3101719,True
curseforge-zip,,,,,,CurseForge API,,,,220954,3840577,True
curseforge-zip,,,,,,CurseForge API,,,,227657,2654852,True
curseforge-zip,,,,,,CurseForge API,,,,227795,2823030,True
curseforge-zip,,,,,,CurseForge API,,,,278717,2848862,True
curseforge-zip,,,,,,CurseForge API,,,,257777,4466956,True
curseforge-zip,,,,,,CurseForge API,,,,250398,4428378,True
curseforge-zip,,,,,,CurseForge API,,,,244844,4402062,True
curseforge-zip,,,,,,CurseForge API,,,,74924,2713386,True
curseforge-zip,,,,,,CurseForge API,,,,267769,2613657,True
curseforge-zip,,,,,,CurseForge API,,,,276837,4414252,True
curseforge-zip,,,,,,CurseForge API,,,,399377,3113274,True
curseforge-zip,,,,,,CurseForge API,,,,250419,2898966,True
curseforge-zip,,,,,,CurseForge API,,,,245028,2876841,True
curseforge-zip,,,,,,CurseForge API,,,,711714,4373489,True
curseforge-zip,,,,,,CurseForge API,,,,242872,2905184,True
curseforge-zip,,,,,,CurseForge API,,,,223797,2479308,True
curseforge-zip,,,,,,CurseForge API,,,,252239,3567495,True
curseforge-zip,,,,,,CurseForge API,,,,340583,3003242,True
curseforge-zip,,,,,,CurseForge API,,,,227873,2721268,True
curseforge-zip,,,,,,CurseForge API,,,,248994,2560552,True
curseforge-zip,,,,,,CurseForge API,,,,253456,3568569,True
curseforge-zip,,,,,,CurseForge API,,,,226321,2537917,True
curseforge-zip,,,,,,CurseForge API,,,,317158,3075168,True
curseforge-zip,,,,,,CurseForge API,,,,381953,2951925,True
