source_format,path,file_size,file_size_human,env_client,env_server,download_domain,download_url,sha1,sha512,projectID,fileID,required
modrinth-mrpack,mods/BadOptimizations-2.4.1-1.21.1.jar,283566,276.92 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/g96Z4WVZ/versions/S2qthD5S/BadOptimizations-2.4.1-1.21.1.jar,1461d8e46391efd32a3085150e86094c9f6f5c9d,2b66428bd98bd5ec0e09f2ec6af801cefb7b9b99cc4f0993daeaffe8d0ccc5ee0c2a73e9f38d4f92540ead0181704d2c9e946837ec05cf710fc3b20fce3b0cac,,,
modrinth-mrpack,mods/BetterF3-11.0.3-NeoForge-1.21.1.jar,481646,470.36 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/8shC1gFX/versions/maXNB1dn/BetterF3-11.0.3-NeoForge-1.21.1.jar,8fa17df26d3650416bc124be7a264bc1566a3b26,59c36a882669399dce2110db42df05e8fe935a2e1194c4bac49abffc3129b2e19373dfe3c4a3d2f8b22f21b1d66ad8cbd653944ce0a71ae05d3d65528d1b7514,,,
modrinth-mrpack,mods/BetterPingDisplay-Fabric-1.21.1-1.1.1.jar,14850,14.50 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/MS1ZMyR7/versions/xCWQ8iLW/BetterPingDisplay-Fabric-1.21.1-1.1.1.jar,534ba30ec8a7ea23048a507d02a651b6ddcaf523,04bca229ffd42eccf1d7d0fc05c02f1a8a5cde20b263ed7b72a3cf7557e8606b6f78192f0f4e99bb88eaff3d48612e248762cdbbb5f5bb02315ee4d7b86a585c,,,
modrinth-mrpack,mods/ConfigManager-neoforge-1.21.x-1.0.1.jar,141558,138.24 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/jlNms3Jp/versions/PoltHx1P/ConfigManager-neoforge-1.21.x-1.0.1.jar,4d9071cbb997b28c81215e16cf70eb430276f5d3,ea5517b7f5da418a8927dc9c36e7cd4297ecc36f7c93ce930608c9f500270ccb6b647330ff754fc512076933b405b68f31d5d91de5320fe4eb70ceaca181348c,,,
modrinth-mrpack,mods/CrashAssistant-neoforge-1.20.6-1.21.4-1.11.9.jar,3161629,3.02 MB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/ix1qq8Ux/versions/APbTyOXD/CrashAssistant-neoforge-1.20.6-1.21.4-1.11.9.jar,a7a2945e8544a3a109ddb01f9c32574fc1e4b902,98ebb5428c704b72008ccdc87104a97a68a0dcef892b3c3dc43a3fde925a3bb34737d48fb453561cb734bf032f5bf59d77d67a51844d1c73f54391104ae9b312,,,
modrinth-mrpack,mods/CustomPlayerModels-1.21-0.6.26a.jar,2793725,2.66 MB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/h1E7sQNL/versions/WTq2BBDV/CustomPlayerModels-1.21-0.6.26a.jar,0b1758917e100a6c4ccb14c46ca51e0e0158e69f,181e7d9cd2892ec791658383ae8b6a96f5afe89c4726c764342ff6623ebcad3a3880e329fab9a1e7642ccd08c8f6398ef64195783090c667bbc41137218474d1,,,
modrinth-mrpack,mods/FactoryAPI-1.21.1-2.2.8-neoforge.jar,537975,525.37 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/nkTZHOLD/versions/3ouDx4yH/FactoryAPI-1.21.1-2.2.8-neoforge.jar,05711473acba4b1f350b149e3c1604b21a47613c,9edbcb6d68082a8ecb243aeffd55c470400ac65754e4382d5f9b7fa85e1c366ef60e21bf89c63fb77fb6f0586b413d4fa0576b36bbf89edc8c9b7d74dd23cdff,,,
modrinth-mrpack,mods/ImmediatelyFast-NeoForge-1.6.10+1.21.1.jar,368598,359.96 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/5ZwdcRci/versions/PhxY0iHw/ImmediatelyFast-NeoForge-1.6.10%2B1.21.1.jar,f1f5cccd7cb59d875f44566b2e557ccecc8c33fb,93fb2685547f1c7d95b558b3b24efd53551b8ab6978b52483d2924a03de044e992669f83e2ee73f9ad1308035b932de431f4f662a971f496c7fdc55195aebd7b,,,
modrinth-mrpack,mods/Ixeris-4.4.1+1.21.1-neoforge.jar,634508,619.64 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/p8RJPJIC/versions/C8PZL299/Ixeris-4.4.1%2B1.21.1-neoforge.jar,039cfc341d0083e29ee39647abe930399fd5e1dc,7ba87235f4245d63b3fbf00b01d41e41a8761d069ef805a9c63e331ae397b577cf6b43bda0cc7012ac0ead5c44387dd5c430f5a98ab67972ac4595f7fe7da9c9,,,
modrinth-mrpack,mods/Legacy4J-1.21.1-1.8.6-lts-neoforge.jar,19886061,18.96 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/gHvKJofA/versions/y8nB0FvL/Legacy4J-1.21.1-1.8.6-lts-neoforge.jar,2139c4ad81000d2ddc688bf0af1cffe909576407,92fc0f6eb947b1e72f9c467826c502c437e4be155f079ce11afd4f82b919d9e5f79b6769bd509c9b5de6d73223323e4f4166bb2ff34472355fdaced7936aa947,,,
modrinth-mrpack,mods/ProPlacer-v21.1.1-1.21.1-NeoForge.jar,58759,57.38 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/LhK0LkWd/versions/gxFLjZrq/ProPlacer-v21.1.1-1.21.1-NeoForge.jar,458337cbff5860133d95794da3a1439e640f9581,73c6b9af5dfbcefc4e882a0d27450e0030edd8f568085282e0c1377b6bfe14f8f3455e5199cddcd7f0ea050b550f2c3bf131928196894a46a80190b9c7f52248,,,
modrinth-mrpack,mods/PuzzlesLib-v21.1.39-1.21.1-NeoForge.jar,1080389,1.03 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/QAGBst4M/versions/EgWWSAhJ/PuzzlesLib-v21.1.39-1.21.1-NeoForge.jar,bcc0900fbbf6d6fc5ca05039cd5725e6145225f2,84bac5cddae511234eea4387d34a96cc961a0e7d23b8c1ab17523b9762bee96a6aa132f57a417e5bc679565439784c268b92ee8d353e4b26f86d3ef5e1c5453b,,,
modrinth-mrpack,mods/ScalableLux-0.1.0.1+neoforge.1cb1e91-all.jar,176443,172.31 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/Ps1zyz6x/versions/j10HNoNf/ScalableLux-0.1.0.1%2Bneoforge.1cb1e91-all.jar,d087823f3aec9e1ba5d8ec9b2888c35f95c06d4e,9378b6a70eca81b018121c01a1467c16245ee3f0bb3cfeece6e9045508ae18834256aed4a72d045df9fc3feca94f006518788260e47094173fa64c39d8450223,,,
modrinth-mrpack,mods/architectury-13.0.8-neoforge.jar,584004,570.32 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/lhGA9TYQ/versions/ZxYGwlk0/architectury-13.0.8-neoforge.jar,6ca11d3cc136bf69bb8f4d56982481eb85b5100b,65e3664953385d880320dd6bb818bcb96d361c07c53e2a7f65e64c6a47720ee26b233224ae9cad465ef0b2bbaefdaf30fb0175a983cecd91de058817d6fcf57e,,,
modrinth-mrpack,mods/c2me-neoforge-mc1.21.1-0.3.0+alpha.0.93.jar,4510749,4.30 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/COlSi5iR/versions/KmfiVd28/c2me-neoforge-mc1.21.1-0.3.0%2Balpha.0.93.jar,942a6d51d4c475117418a6a36b46833a8128fbc7,7dbb5cabc4669b900c570547fc636ce77b24e08451f4c699db76ec9ed3c805a256323862d7823e7d8c5acd10baa15e83c27dae3384ed5ea765f7e883a41f6045,,,
modrinth-mrpack,mods/capes-1.5.4+1.21-fabric.jar,77572,75.75 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/89Wsn8GD/versions/6SzVPVR4/capes-1.5.4%2B1.21-fabric.jar,11655909a800fd70e2e0ca940cddc2bdbcbe2003,8cd91182feec18a41412d6a8ad5311f730d881c30959aeb80eddf993c7930200758d0f4f1676dcbced7d315c124a0c02137f997c998a4912dd1a10a6a33664af,,,
