path,file_size,file_size_human,env_client,env_server,download_domain,download_url,sha1,sha512
mods/[3D 皮肤层] skinlayers3d-fabric-1.10.2-mc1.20.1.jar,1966631,1.88 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/zV5r3pPn/versions/7CwZ2Zhg/skinlayers3d-fabric-1.10.2-mc1.20.1.jar,f13191c806b098b013c42a5a00b7f0a515abeb12,68a040ec9a1e7c1928dc2599ba75dd11820e45c8513a88f622a1db17ee5d8cb71740e0097f52efbea8bc5223a31f8df9617679d49305e7e897283f5681e70451
mods/[Fabric Seasons：拓展] fabric-seasons-extras-1.3.2-BETA+1.20.jar,346936,338.80 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/64FYdx5z/versions/RJ4U7Kz1/fabric-seasons-extras-1.3.2-BETA%2B1.20.jar,492b0c0c60068544926ea3a6c4f5c24fb85d7553,1301e77dd4c35306f4527dc1db9940045b733c0429b9be614e685c61d9fb4c005c3ee49fdbc198b79a05d9fb4af7099dd0de6d950f8097bfb1c1594d0438f5a0
mods/[JEI物品管理器] jei-1.20.1-fabric-15.20.0.129.jar,1422496,1.36 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/u6dRKJwZ/versions/wbPLxn0B/jei-1.20.1-fabric-15.20.0.129.jar,5f3633e768fabe6a9a99d1fb536b730f7c038b04,c236643fec7dab72a68d772c0739bc95e2b8b59dbe082b68cafac5457bfd0e87f611fef9b7e973dbe377d6dd76b538327da2a595183b2a3808cc5fe0006cef0f
mods/[JEI药水效果] jeed-1.20-2.2.5-fabric.jar,154830,151.20 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/EO27GKs1/versions/ayQ1YaSe/jeed-1.20-2.2.5-fabric.jar,803582b45ff734744305e1090a55ad544e19187b,a583b1b580da789b47a054a2617310c42c7c1e3c148a49cbc0e8ee18819c1f1a04c575ff88d728db9a97c8d20bc3e433a4649c7f8d4a4e512a68f6801ad68ac6
mods/[Macaw的屋顶] mcw-roofs-2.3.2-mc1.20.1fabric.jar,1796110,1.71 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/B8jaH3P1/versions/BMjP4VXn/mcw-roofs-2.3.2-mc1.20.1fabric.jar,1f1802782bca49fd0dea7ee9377e9272df75f7ed,0c7f5297750d4518b11a48fb87c41360288f239dcca12426ed39a500c23d7b2d9303daa2f488bd08dc8d7cf5260d6d8b705c89ec5e4477506d545ef8a0b26ece
mods/[Macaw的栅栏与墙] mcw-mcwfences-1.2.1-mc1.20.1fabric.jar,659511,644.05 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/GmwLse2I/versions/bL1sIm2E/mcw-mcwfences-1.2.1-mc1.20.1fabric.jar,c18a0d6cf58dd011692bf30ee4bdc101ba2cceed,578dfc810c5aee7df4bd1ba04044d914a6a772a6dab27c389f61ee4c9a7df576c5b8e620dc84c1643be2f34140cc19b8bd50a917fad268300af86b4000f9581e
mods/[Macaw的桥梁] mcw-bridges-3.1.2-mc1.20.1fabric.jar,672903,657.13 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/GURcjz8O/versions/bt7noi5F/mcw-bridges-3.1.2-mc1.20.1fabric.jar,097e84a2289a4ba3a2fababad0a56faad712b9d3,1603f9559e097dda91d16a35c841fefe91eefb04b7e52926ac64cdf5edf9def2219f13fb27561b1afb03ad7aeeee3d85c6aa48e009de26ac45aab555feb25d2e
mods/[Macaw的画] mcw-paintings-1.0.5-1.20.1fabric.jar,58164,56.80 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/okE6QVAY/versions/CwHvP3Pz/mcw-paintings-1.0.5-1.20.1fabric.jar,dde22454bdccd63aefbd26d96b7f644ce576cf9c,17f928fb5365fd0315fe284b3b3213f5ec0ff14ea70a89c16be8376dd9a1f6ba7faed78a18a674436b78a63df1c8d6de7b04e3e99f8c84d95d4c8a66ae4f2bf8
mods/[Macaw的窗户] mcw-mcwwindows-2.4.2-mc1.20.1fabric.jar,1273261,1.21 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/C7I0BCni/versions/dGiIkdi3/mcw-mcwwindows-2.4.2-mc1.20.1fabric.jar,90ef895d64169afd1d5aafd83cb338eb2a43fc59,b74acb9cc9796a9993efc26d972ffdb5a648d072f238e0ddb7ab27788833ff44b0c68b334785d341a6c6fa29fadaf7acea0d79ae43c35d5f25b7279b1423a196
mods/[Reese的钠视频界面] reeses_sodium_options-1.7.2+mc1.20.1-build.101.jar,77304,75.49 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/Bh37bMuy/versions/Rc9pkPug/reeses_sodium_options-1.7.2%2Bmc1.20.1-build.101.jar,206f1b01b99ac3df99ddd84ed96b466a8700412d,efb5eab3caea346f9d13ea7c73e856f286bba1c87508c7250deada7bf4e9ad179a12e9861f61145d5c9578d88f740abf19c564f14579aac5da1f46bf6f086977
mods/[Xaero的世界地图] xaeroworldmap-fabric-1.20.1-1.40.11.jar,1409403,1.34 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/NcUtCpym/versions/6WcEeMbU/xaeroworldmap-fabric-1.20.1-1.40.11.jar,b4f34e57f3bca8b98bf445e870e0acd1bd60856d,47e299ebcb14ec5a93f325f07fc96383cc399fa52c6985990f06aaab47578263637dbc7160c7e7a6252abdc5bfa9b55c98ef6d12b6b2c3c46c443f507664591c
mods/[Xaero的小地图] xaerominimap-fabric-1.20.1-25.3.10.jar,2170691,2.07 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/1bokaNcj/versions/7wlcmhtN/xaerominimap-fabric-1.20.1-25.3.10.jar,2fc54c6af762147657ec0c06c03e2fd0339783ee,9dfdc116a9ecec65547cbf9f0a9a1b2cb261d081c565c7e98bacec21dd6561323cdce7ab4837e5d1080a2ba392e125586005043ac95ded68892469b7b5d11f4a
mods/[YDM的武器大师] weaponmaster-client-only-fabric-1.20.1-3.0.5.jar,316932,309.50 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/qi1sj2da/versions/jV5BFDGB/weaponmaster_ydm-fabric-1.20.1-4.2.6.jar,a73cc2f57cf48ffb711580dba64078050a9d094f,4afd17e45506ecd892128ec5ce69ccc3e827c4f1a93c2195814e0343dec37f617cd87fd211898b24a8a7c34937bea6d441d77b0af9c6b6a682ca24bffb94ba3b
