path,category,file_size,file_size_human,compressed_size,extension
overrides/options.txt,options.txt,12369,12.08 KB,3364,.txt
overrides/config/acceleratedrendering-client.toml,config,30483,29.77 KB,5692,.toml
overrides/config/additional-additions-config.json,config,901,901 B,397,.json
overrides/config/additionalstructures-client.toml,config,80,80 B,67,.toml
overrides/config/advancednetherite-client.toml,config,440,440 B,253,.toml
overrides/config/advancednetherite-common.toml,config,2723,2.66 KB,498,.toml
overrides/config/advancementplaques-common.toml,config,3024,2.95 KB,928,.toml
overrides/config/aiimprovements-common.toml,config,6207,6.06 KB,1288,.toml
overrides/config/alltheleaks.json,config,471,471 B,257,.json
overrides/config/appleskin-client.toml,config,1361,1.33 KB,536,.toml
overrides/config/appleskin.json5,config,1327,1.30 KB,518,.json5
overrides/config/armorplus-common.toml,config,16724,16.33 KB,2124,.toml
overrides/config/armor_visibility.json,config,353,353 B,157,.json
overrides/config/attributefix.json,config,10010,9.78 KB,801,.json
overrides/config/attributeslib.cfg,config,2503,2.44 KB,811,.cfg
overrides/config/badoptimizations.txt,config,3458,3.38 KB,1381,.txt
overrides/config/balm-client.toml,config,797,797 B,295,.toml
overrides/config/balm-common.toml,config,797,797 B,296,.toml
overrides/config/betteradvancements-client.toml,config,939,939 B,447,.toml
overrides/config/betteradvancements.json,config,597,597 B,258,.json
overrides/config/betterdeserttemples-forge-1_20.toml,config,618,618 B,227,.toml
overrides/config/betterdungeons-forge-1_20.toml,config,3486,3.40 KB,888,.toml
overrides/config/betterendisland-forge-1_20.toml,config,329,329 B,203,.toml
overrides/config/betterfortresses-forge-1_20.toml,config,468,468 B,149,.toml
overrides/config/betterjungletemples-forge-1_20.toml,config,126,126 B,81,.toml
overrides/config/bettermineshafts-forge-1_20.toml,config,3773,3.68 KB,889,.toml
overrides/config/bettermodsbutton-client.toml,config,1130,1.10 KB,493,.toml
overrides/config/betteroceanmonuments-forge-1_20.toml,config,460,460 B,158,.toml
overrides/config/betterpingdisplay-client.toml,config,665,665 B,357,.toml
overrides/config/betterpingdisplay.json,config,122,122 B,87,.json
overrides/config/betterstats.json,config,1049,1.02 KB,393,.json
overrides/config/betterstrongholds-forge-1_20.toml,config,813,813 B,260,.toml
overrides/config/betterwitchhuts-forge-1_20.toml,config,440,440 B,154,.toml
overrides/config/blur-client.toml,config,801,801 B,409,.toml
overrides/config/c2me.toml,config,9441,9.22 KB,3399,.toml
overrides/config/canary.properties,config,422,422 B,258,.properties
overrides/config/cardinal-components-api.properties,config,452,452 B,250,.properties
overrides/config/carryon-client.toml,config,590,590 B,342,.toml
overrides/config/carryon-common.toml,config,7153,6.99 KB,2481,.toml
overrides/config/cataclysm.toml,config,15382,15.02 KB,2649,.toml
overrides/config/ccl.cfg,config,446,446 B,242,.cfg
overrides/config/cesium.json,config,1065,1.04 KB,487,.json
overrides/config/chatanimation.json,config,160,160 B,92,.json
overrides/config/chatimageconfig.json,config,405,405 B,212,.json
overrides/config/chatimpressiveanimation.json,config,182,182 B,97,.json
overrides/config/chatpatches.json,config,895,895 B,360,.json
overrides/config/chat_heads.json5,config,229,229 B,163,.json5
overrides/config/citadel-common.toml,config,648,648 B,384,.toml
overrides/config/collective.json5,config,960,960 B,534,.json5
overrides/config/colorfulhearts.toml,config,1751,1.71 KB,493,.toml
overrides/config/combatsense.json,config,1348,1.32 KB,406,.json
overrides/config/companion-common.yaml,config,511,511 B,299,.yaml
overrides/config/configured-client.toml,config,93,93 B,85,.toml
overrides/config/connector.json,config,144,144 B,105,.json
overrides/config/connectorextras_energy_bridge-common.toml,config,345,345 B,164,.toml
overrides/config/continuity.json,config,122,122 B,83,.json
overrides/config/creeperoverhaul.jsonc,config,1850,1.81 KB,353,.jsonc
overrides/config/cullleaves.json,config,42,42 B,36,.json
overrides/config/curios-client.toml,config,706,706 B,259,.toml
overrides/config/curios-common.toml,config,161,161 B,126,.toml
overrides/config/CustomNpcs.cfg,config,2384,2.33 KB,1150,.cfg
overrides/config/damageindicator-client.toml,config,1268,1.24 KB,486,.toml
overrides/config/damagevignette-client.toml,config,91,91 B,61,.toml
overrides/config/damage_number-common.toml,config,1632,1.59 KB,547,.toml
overrides/config/damage_number_type.toml,config,20963,20.47 KB,1492,.toml
overrides/config/detailarmorbar.json,config,906,906 B,306,.json
overrides/config/DistantHorizons.toml,config,34300,33.50 KB,10407,.toml
overrides/config/do_a_barrel_roll-client.json,config,1694,1.65 KB,537,.json
overrides/config/do_a_barrel_roll-server.json,config,2,2 B,4,.json
overrides/config/draggable_lists.json5,config,68,68 B,51,.json5
overrides/config/dummmmmmy-client.toml,config,1570,1.53 KB,771,.toml
overrides/config/dummmmmmy-common.toml,config,1277,1.25 KB,663,.toml
overrides/config/dungeon_crawl.toml,config,2903,2.83 KB,754,.toml
overrides/config/dynamic_fps.json,config,3,3 B,5,.json
overrides/config/ecologics-common.toml,config,519,519 B,282,.toml
overrides/config/embeddium++.toml,config,6841,6.68 KB,2291,.toml
overrides/config/embeddium-fingerprint.json,config,427,427 B,260,.json
overrides/config/embeddium-mixins.properties,config,269,269 B,186,.properties
overrides/config/embeddium-options.json,config,848,848 B,376,.json
overrides/config/emi.css,config,10186,9.95 KB,2521,.css
overrides/config/emi.json,config,12590,12.29 KB,2394,.json
overrides/config/enchdesc.json,config,2059,2.01 KB,529,.json
overrides/config/enhancedvisuals-client.json,config,8280,8.09 KB,1092,.json
overrides/config/enhancedvisuals.json,config,429,429 B,258,.json
overrides/config/enhanced_bes.properties,config,532,532 B,236,.properties
overrides/config/enigmaticlegacy-client.omniconf,config,5321,5.20 KB,1586,.omniconf
overrides/config/enigmaticlegacy-common.omniconf,config,43028,42.02 KB,8611,.omniconf
overrides/config/entityculling.json,config,2228,2.18 KB,695,.json
overrides/config/entity_model_features.json,config,1080,1.05 KB,481,.json
overrides/config/entity_texture_features.json,config,1420,1.39 KB,573,.json
overrides/config/etf_warnings.json,config,28,28 B,30,.json
overrides/config/euphoria_patcher.properties,config,1092,1.07 KB,472,.properties
overrides/config/exordium.json,config,1209,1.18 KB,234,.json
overrides/config/extraarmor-common.toml,config,2689,2.63 KB,639,.toml
overrides/config/fastbench.cfg,config,541,541 B,324,.cfg
overrides/config/ferritecore-mixin.toml,config,1516,1.48 KB,707,.toml
overrides/config/ferritecore.mixin.properties,config,1615,1.58 KB,740,.properties
overrides/config/flerovium.json,config,137,137 B,97,.json
overrides/config/fml.toml,config,1147,1.12 KB,575,.toml
overrides/config/forge-client.toml,config,1628,1.59 KB,833,.toml
overrides/config/forgeconfigapiport.toml,config,523,523 B,300,.toml
overrides/config/forgematica.json,config,9175,8.96 KB,2160,.json
overrides/config/ftbessentials.snbt,config,10036,9.80 KB,2275,.snbt
overrides/config/ftblibrary-client.snbt,config,1452,1.42 KB,488,.snbt
overrides/config/ftbultimine-client.snbt,config,1591,1.55 KB,703,.snbt
overrides/config/gd656killicon-client.toml,config,7475,7.30 KB,2006,.toml
overrides/config/gd656killicon-common.toml,config,7475,7.30 KB,2028,.toml
overrides/config/gd656killicon_score_expressions.json,config,210,210 B,121,.json
overrides/config/gnetum.json,config,4813,4.70 KB,637,.json
overrides/config/gobber-general.toml,config,14525,14.18 KB,2709,.toml
overrides/config/guardvillagers-client.toml,config,210,210 B,151,.toml
overrides/config/guardvillagers-common.toml,config,3743,3.66 KB,1362,.toml
overrides/config/gunsmithlib-common.toml,config,263,263 B,200,.toml
overrides/config/hangglider-client.toml,config,361,361 B,189,.toml
overrides/config/hangglider-server.toml,config,5264,5.14 KB,1322,.toml
overrides/config/helditemtooltips-client.toml,config,17823,17.41 KB,1940,.toml
overrides/config/hiddennames-client.toml,config,211,211 B,153,.toml
overrides/config/hitindication-client.toml,config,1694,1.65 KB,698,.toml
overrides/config/illagerinvasion-server.toml,config,1331,1.30 KB,404,.toml
overrides/config/imblocker-client.toml,config,1017,1017 B,459,.toml
overrides/config/immediatelyfast.json,config,1063,1.04 KB,412,.json
overrides/config/indium-renderer.properties,config,115,115 B,108,.properties
overrides/config/infernalmobs.cfg,config,7250,7.08 KB,1385,.cfg
overrides/config/ingameime.json,config,102,102 B,81,.json
overrides/config/inventoryhud-client.toml,config,5506,5.38 KB,1371,.toml
overrides/config/inventoryhud.json,config,1690,1.65 KB,515,.json
overrides/config/invmove.json,config,449,449 B,208,.json
overrides/config/iris-excluded.json,config,31,31 B,33,.json
overrides/config/iris.properties,config,297,297 B,220,.properties
overrides/config/ironfurnaces-client.toml,config,7308,7.14 KB,1256,.toml
overrides/config/ironfurnaces.toml,config,0,0 B,0,.toml
overrides/config/itemphysic-client.json,config,629,629 B,254,.json
overrides/config/itemphysic.json,config,8850,8.64 KB,917,.json
overrides/config/itemphysiclite-client.json,config,237,237 B,120,.json
overrides/config/itemscroller.json,config,4405,4.30 KB,1063,.json
overrides/config/ixeris.toml,config,1503,1.47 KB,587,.toml
overrides/config/jecharacters-client.toml,config,912,912 B,364,.toml
overrides/config/jecharacters-extra.json,config,182,182 B,79,.json
overrides/config/jecharacters.toml,config,917,917 B,365,.toml
overrides/config/jei-server.toml,config,324,324 B,151,.toml
overrides/config/jeiintegration-client.toml,config,938,938 B,321,.toml
overrides/config/kiwi-client.yaml,config,288,288 B,190,.yaml
overrides/config/kiwi-common.yaml,config,73,73 B,73,.yaml
overrides/config/kreno.yaml,config,454,454 B,214,.yaml
overrides/config/krypton_fnp.yaml,config,947,947 B,497,.yaml
overrides/config/lambdynlights.toml,config,4449,4.34 KB,1401,.toml
overrides/config/languagereload.json,config,216,216 B,133,.json
overrides/config/letmedespawn.json,config,72,72 B,61,.json
overrides/config/litematica.json,config,10685,10.43 KB,2487,.json
overrides/config/lithium.properties,config,267,267 B,178,.properties
overrides/config/lootbeams-client.toml,config,7065,6.90 KB,2035,.toml
overrides/config/lootr-client.toml,config,243,243 B,145,.toml
overrides/config/lootr-common.toml,config,6195,6.05 KB,1770,.toml
overrides/config/lrarmor-common.toml,config,128,128 B,80,.toml
overrides/config/lrtactical-client.toml,config,199,199 B,151,.toml
overrides/config/lrtactical-common.toml,config,360,360 B,228,.toml
overrides/config/lsp.json,config,223,223 B,151,.json
overrides/config/luckytntlib-common.toml,config,339,339 B,183,.toml
overrides/config/luckytntmod-common.toml,config,1713,1.67 KB,565,.toml
overrides/config/mafglib.json,config,149,149 B,92,.json
overrides/config/magiclib.json,config,3196,3.12 KB,572,.json
overrides/config/majruszlibrary.json,config,79,79 B,72,.json
overrides/config/majruszsdifficulty.json,config,21855,21.34 KB,2796,.json
overrides/config/malilib.json,config,675,675 B,271,.json
overrides/config/masa_gadget_mod.json,config,6720,6.56 KB,1020,.json
overrides/config/memorysweep.json,config,456,456 B,264,.json
overrides/config/merchantmarkers-common.toml,config,3017,2.95 KB,1293,.toml
overrides/config/midnightlib.json,config,37,37 B,39,.json
overrides/config/minihud.json,config,19910,19.44 KB,3947,.json
overrides/config/modelfix-client.json,config,207,207 B,112,.json
overrides/config/modernfix-common.toml,config,107,107 B,92,.toml
overrides/config/modernfix-mixins.properties,config,6484,6.33 KB,1652,.properties
overrides/config/modmenu.json,config,840,840 B,314,.json
overrides/config/moonlight-client.toml,config,1027,1.00 KB,597,.toml
overrides/config/moonlight-common.toml,config,1023,1023 B,565,.toml
overrides/config/moreculling.toml,config,540,540 B,264,.toml
overrides/config/morezombievillagers.json5,config,131,131 B,111,.json5
overrides/config/MouseTweaks.cfg,config,135,135 B,87,.cfg
overrides/config/moveslikemafuyu-common.toml,config,2304,2.25 KB,916,.toml
overrides/config/mutantmonsters-common.toml,config,957,957 B,217,.toml
overrides/config/mutantmonsters-server.toml,config,767,767 B,374,.toml
overrides/config/neoforge-client.toml,config,578,578 B,341,.toml
overrides/config/neoforge-common.toml,config,772,772 B,368,.toml
overrides/config/neoforge-server.toml,config,1177,1.15 KB,531,.toml
overrides/config/oculus.properties,config,271,271 B,206,.properties
overrides/config/offershud.toml,config,113,113 B,92,.toml
overrides/config/ommc.json,config,7115,6.95 KB,1103,.json
overrides/config/oreexcavation-client.toml,config,366,366 B,238,.toml
overrides/config/oreexcavation-common.toml,config,1684,1.64 KB,787,.toml
overrides/config/overloadedarmorbar-client.toml,config,271,271 B,177,.toml
overrides/config/packetfixer.properties,config,488,488 B,300,.properties
overrides/config/palladium_config.toadcfg,config,432,432 B,193,.toadcfg
