path,relative_path,category,file_size,file_size_human,compressed_size,extension
overrides/options.txt,options.txt,options.txt,5191,5.07 KB,1829,.txt
overrides/config/borderlessmining.json,config/borderlessmining.json,config,277,277 B,167,.json
overrides/config/camerapture.client.json,config/camerapture.client.json,config,136,136 B,105,.json
overrides/config/camerapture.server.json,config/camerapture.server.json,config,236,236 B,146,.json
overrides/config/cardinal-components-api.properties,config/cardinal-components-api.properties,config,273,273 B,191,.properties
overrides/config/collective.json5,config/collective.json5,config,827,827 B,475,.json5
overrides/config/configured-client.toml,config/configured-client.toml,config,93,93 B,88,.toml
overrides/config/cubes-without-borders.json,config/cubes-without-borders.json,config,209,209 B,135,.json
overrides/config/entity_texture_features.json,config/entity_texture_features.json,config,1421,1.39 KB,580,.json
overrides/config/ferritecore.mixin.properties,config/ferritecore.mixin.properties,config,1525,1.49 KB,700,.properties
overrides/config/firstperson.json,config/firstperson.json,config,593,593 B,294,.json
overrides/config/forgeconfigapiport.toml,config/forgeconfigapiport.toml,config,1582,1.54 KB,755,.toml
overrides/config/iris.properties,config/iris.properties,config,254,254 B,200,.properties
overrides/config/kits.properties,config/kits.properties,config,168,168 B,148,.properties
overrides/config/midnightlib.json,config/midnightlib.json,config,34,34 B,39,.json
overrides/config/notenoughanimations.json,config/notenoughanimations.json,config,2386,2.33 KB,662,.json
overrides/config/notenoughcrashes.json,config/notenoughcrashes.json,config,156,156 B,122,.json
overrides/config/serversidehorror.json,config/serversidehorror.json,config,3368,3.29 KB,1034,.json
overrides/config/skinlayers.json,config/skinlayers.json,config,430,430 B,194,.json
overrides/config/spb-revamped.json,config/spb-revamped.json,config,625,625 B,285,.json
overrides/config/transition.json,config/transition.json,config,62,62 B,63,.json
overrides/config/trender.json,config/trender.json,config,44,44 B,45,.json
overrides/config/welcomemessage.json5,config/welcomemessage.json5,config,2151,2.10 KB,781,.json5
overrides/config/fabric/indigo-renderer.properties,config/fabric/indigo-renderer.properties,config,290,290 B,192,.properties
overrides/config/justzoom/config.txt,config/justzoom/config.txt,config,474,474 B,242,.txt
overrides/config/kits/camera.nbt,config/kits/camera.nbt,config,288,288 B,159,.nbt
overrides/config/kits/food.nbt,config/kits/food.nbt,config,141,141 B,107,.nbt
overrides/config/konkrete/locals/de_de.local,config/konkrete/locals/de_de.local,config,369,369 B,216,.local
overrides/config/konkrete/locals/en_us.local,config/konkrete/locals/en_us.local,config,426,426 B,202,.local
overrides/config/konkrete/locals/pl_pl.local,config/konkrete/locals/pl_pl.local,config,313,313 B,183,.local
overrides/config/konkrete/locals/pt_br.local,config/konkrete/locals/pt_br.local,config,322,322 B,171,.local
overrides/config/voicechat/category-volumes.properties,config/voicechat/category-volumes.properties,config,46,46 B,51,.properties
overrides/config/voicechat/player-volumes.properties,config/voicechat/player-volumes.properties,config,44,44 B,49,.properties
overrides/config/voicechat/translations.properties,config/voicechat/translations.properties,config,1182,1.15 KB,418,.properties
overrides/config/voicechat/username-cache.json,config/voicechat/username-cache.json,config,2,2 B,7,.json
overrides/config/voicechat/voicechat-client.properties,config/voicechat/voicechat-client.properties,config,5171,5.05 KB,1885,.properties
overrides/config/voicechat/voicechat-server.properties,config/voicechat/voicechat-server.properties,config,2830,2.76 KB,1273,.properties
overrides/config/voicechat/voicechat-volumes.properties,config/voicechat/voicechat-volumes.properties,config,37,37 B,42,.properties
overrides/datapacks/herobrine_spawn/data/fromthefog/tags/worldgen/biome/has_herobrine.json,datapacks/herobrine_spawn/data/fromthefog/tags/worldgen/biome/has_herobrine.json,datapacks,110,110 B,84,.json
