path,relative_path,category,file_size,file_size_human,compressed_size,extension
overrides/config/aarcaddon.cfg,config/aarcaddon.cfg,config,3154,3.08 KB,1174,.cfg
overrides/config/acronym/base/General.cfg,config/acronym/base/General.cfg,config,933,933 B,424,.cfg
overrides/config/acronym/base/General.cfg_20211221_143506.errored,config/acronym/base/General.cfg_20211221_143506.errored,config,933,933 B,11,.errored
overrides/config/acronym/contenttweaker/General.cfg,config/acronym/contenttweaker/General.cfg,config,177,177 B,109,.cfg
overrides/config/acronym/material_system.cfg,config/acronym/material_system.cfg,config,174,174 B,128,.cfg
overrides/config/acronym/saved/material_parts_contenttweaker-original.json,config/acronym/saved/material_parts_contenttweaker-original.json,config,28,28 B,28,.json
overrides/config/acronym/saved/material_parts_contenttweaker.json,config/acronym/saved/material_parts_contenttweaker.json,config,28,28 B,28,.json
overrides/config/acronym/saved/saved_sub_blocks_contenttweaker-original.json,config/acronym/saved/saved_sub_blocks_contenttweaker-original.json,config,30,30 B,30,.json
overrides/config/acronym/saved/saved_sub_blocks_contenttweaker.json,config/acronym/saved/saved_sub_blocks_contenttweaker.json,config,30,30 B,30,.json
overrides/config/adhooks/adhooks.cfg,config/adhooks/adhooks.cfg,config,0,0 B,0,.cfg
overrides/config/adhooks/hooks/prototype.cfg,config/adhooks/hooks/prototype.cfg,config,1059,1.03 KB,492,.cfg
overrides/config/adhooks/hooks/pudge.cfg,config/adhooks/hooks/pudge.cfg,config,3804,3.71 KB,1206,.cfg
overrides/config/adhooks/hooks/spear.cfg,config/adhooks/hooks/spear.cfg,config,3810,3.72 KB,1215,.cfg
overrides/config/adhooks/hooks/web.cfg,config/adhooks/hooks/web.cfg,config,3767,3.68 KB,1186,.cfg
overrides/config/adhooks/launchers/prototype.cfg,config/adhooks/launchers/prototype.cfg,config,3211,3.14 KB,1096,.cfg
overrides/config/adhooks/launchers/pudge.cfg,config/adhooks/launchers/pudge.cfg,config,3937,3.84 KB,1245,.cfg
overrides/config/adhooks/launchers/spear.cfg,config/adhooks/launchers/spear.cfg,config,3939,3.85 KB,1244,.cfg
overrides/config/adhooks/launchers/web.cfg,config/adhooks/launchers/web.cfg,config,3933,3.84 KB,1238,.cfg
overrides/config/advanced-fishing.cfg,config/advanced-fishing.cfg,config,101,101 B,87,.cfg
overrides/config/aireducer.cfg,config/aireducer.cfg,config,7996,7.81 KB,1301,.cfg
overrides/config/aireducer.cfg off,config/aireducer.cfg off,config,3006,2.94 KB,752,.cfg off
overrides/config/aireducer/taskDelay.json,config/aireducer/taskDelay.json,config,228,228 B,98,.json
overrides/config/albedo.cfg,config/albedo.cfg,config,1158,1.13 KB,306,.cfg
overrides/config/alcatrazcore.cfg,config/alcatrazcore.cfg,config,230,230 B,172,.cfg
overrides/config/alt.cfg,config/alt.cfg,config,462,462 B,251,.cfg
overrides/config/antiqueatlas/antiqueatlas.cfg,config/antiqueatlas/antiqueatlas.cfg,config,4729,4.62 KB,1414,.cfg
overrides/config/antiqueatlas/atlas_overlay.cfg,config/antiqueatlas/atlas_overlay.cfg,config,3411,3.33 KB,761,.cfg
overrides/config/antiqueatlas/biome_textures.json,config/antiqueatlas/biome_textures.json,config,4344,4.24 KB,1006,.json
overrides/config/antiqueatlas/markers.json,config/antiqueatlas/markers.json,config,3706,3.62 KB,827,.json
overrides/config/antiqueatlas/texture_sets.json,config/antiqueatlas/texture_sets.json,config,7723,7.54 KB,811,.json
overrides/config/antiqueatlas/tileids.json,config/antiqueatlas/tileids.json,config,1505,1.47 KB,483,.json
overrides/config/antiqueatlas/tile_textures.json,config/antiqueatlas/tile_textures.json,config,3333,3.25 KB,735,.json
overrides/config/anvilpatch.cfg,config/anvilpatch.cfg,config,1409,1.38 KB,668,.cfg
overrides/config/aquaacrobatics.cfg,config/aquaacrobatics.cfg,config,6579,6.42 KB,1566,.cfg
overrides/config/aquaacrobatics_core.cfg,config/aquaacrobatics_core.cfg,config,250,250 B,187,.cfg
overrides/config/aquaculture.cfg,config/aquaculture.cfg,config,3205,3.13 KB,612,.cfg
overrides/config/astikorcarts.cfg,config/astikorcarts.cfg,config,1736,1.70 KB,256,.cfg
overrides/config/atlasextras.cfg,config/atlasextras.cfg,config,2617,2.56 KB,929,.cfg
overrides/config/atlasextras.cfg oldzor,config/atlasextras.cfg oldzor,config,2613,2.55 KB,932,.cfg oldzor
overrides/config/atlcraft.cfg,config/atlcraft.cfg,config,1918,1.87 KB,630,.cfg
overrides/config/attributefix.cfg,config/attributefix.cfg,config,8303,8.11 KB,564,.cfg
overrides/config/attributestudios/wolfarmor.cfg bakup,config/attributestudios/wolfarmor.cfg bakup,config,1202,1.17 KB,367,.cfg bakup
overrides/config/badwithernocookiereloaded.cfg,config/badwithernocookiereloaded.cfg,config,1487,1.45 KB,376,.cfg
overrides/config/battletowers.cfg,config/battletowers.cfg,config,10967,10.71 KB,2531,.cfg
overrides/config/BaubleEnhancements.cfg,config/BaubleEnhancements.cfg,config,3630,3.54 KB,670,.cfg
overrides/config/baubles.cfg,config/baubles.cfg,config,162,162 B,128,.cfg
overrides/config/BaublesHub.cfg,config/BaublesHub.cfg,config,171,171 B,105,.cfg
overrides/config/bedbreakbegone.cfg,config/bedbreakbegone.cfg,config,560,560 B,163,.cfg
overrides/config/betterbiomeblend.cfg,config/betterbiomeblend.cfg,config,95,95 B,82,.cfg
overrides/config/bettercaves-1_12_2.cfg,config/bettercaves-1_12_2.cfg,config,21038,20.54 KB,3155,.cfg
overrides/config/bettercombatmod.cfg,config/bettercombatmod.cfg,config,3142,3.07 KB,1031,.cfg
overrides/config/bettercombatmod.cfg 2.9.1c backup,config/bettercombatmod.cfg 2.9.1c backup,config,3189,3.11 KB,1076,.1c backup
overrides/config/bettercombatmod.cfg bruh,config/bettercombatmod.cfg bruh,config,2817,2.75 KB,974,.cfg bruh
overrides/config/betterfishing.cfg,config/betterfishing.cfg,config,18912,18.47 KB,1521,.cfg
overrides/config/betterfoliage.cfg,config/betterfoliage.cfg,config,7513,7.34 KB,1733,.cfg
overrides/config/bettermineshafts-1_12_2.cfg,config/bettermineshafts-1_12_2.cfg,config,5303,5.18 KB,1092,.cfg
overrides/config/bettermineshafts-1_12_2.cfg old,config/bettermineshafts-1_12_2.cfg old,config,5743,5.61 KB,1253,.cfg old
overrides/config/bettermineshafts-1_12_2.cfg old old,config/bettermineshafts-1_12_2.cfg old old,config,5419,5.29 KB,1140,.cfg old old
overrides/config/bettermineshafts/1_12_2/biomeTags.txt,config/bettermineshafts/1_12_2/biomeTags.txt,config,454,454 B,242,.txt
overrides/config/bettermineshafts/1_12_2/README.txt,config/bettermineshafts/1_12_2/README.txt,config,6230,6.08 KB,2188,.txt
overrides/config/bettermineshafts/1_12_2/variants.json,config/bettermineshafts/1_12_2/variants.json,config,28132,27.47 KB,2444,.json
overrides/config/bettermineshafts/1_12_2/variants.json newish,config/bettermineshafts/1_12_2/variants.json newish,config,27642,26.99 KB,2316,.json newish
overrides/config/bettermineshafts/1_12_2/variants.json old,config/bettermineshafts/1_12_2/variants.json old,config,20003,19.53 KB,1447,.json old
overrides/config/bettermineshafts/README.txt,config/bettermineshafts/README.txt,config,546,546 B,261,.txt
overrides/config/betternether.cfg,config/betternether.cfg,config,11895,11.62 KB,1374,.cfg
overrides/config/betterquesting.cfg,config/betterquesting.cfg,config,580,580 B,300,.cfg
