path,relative_path,category,file_size,file_size_human,compressed_size,extension
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/r_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/r_key.png,resourcepacks,308,308 B,318,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/left_bumper.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/left_bumper.png,resourcepacks,323,323 B,329,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/left_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/left_button_pressed.png,resourcepacks,449,449 B,459,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/left_stick_pressed_right.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/left_stick_pressed_right.png,resourcepacks,356,356 B,366,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/up_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/up_button_pressed.png,resourcepacks,374,374 B,384,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/left_bumper.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/left_bumper.png,resourcepacks,301,301 B,311,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/left_trigger_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/left_trigger_pressed.png,resourcepacks,359,359 B,369,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/dpad_up.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/dpad_up.png,resourcepacks,237,237 B,234,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/wii_u/dpad_left.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/wii_u/dpad_left.png,resourcepacks,285,285 B,277,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/legacy/ui_definitions/how_to_play/blast-furnace.json,global_packs/required_resources/rcr-neoforge/assets/legacy/ui_definitions/how_to_play/blast-furnace.json,global_packs,4613,4.50 KB,1107,.json
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/left_stick_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/left_stick_button.png,resourcepacks,341,341 B,351,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/sd/dpad_down_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/sd/dpad_down_pressed.png,resourcepacks,264,264 B,274,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/left_bumper.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/left_bumper.png,resourcepacks,259,259 B,269,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/right_stick_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/right_stick_button.png,resourcepacks,317,317 B,327,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/defaultslim/skin_packs.json,global_packs/required_resources/rcr-neoforge/assets/defaultslim/skin_packs.json,global_packs,685,685 B,168,.json
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/right_bracket_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/right_bracket_key.png,resourcepacks,499,499 B,509,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/right_stick_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/right_stick_button.png,resourcepacks,458,458 B,468,.png
overrides/config/modpack_defaults/config/modmenu.json,config/modpack_defaults/config/modmenu.json,config,147,147 B,100,.json
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/8_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/8_key.png,resourcepacks,335,335 B,345,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/key_base.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/key_base.png,resourcepacks,355,355 B,365,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/start_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/start_button.png,resourcepacks,213,213 B,219,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/left_stick_pressed_right.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/left_stick_pressed_right.png,resourcepacks,506,506 B,516,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/f12_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/f12_key_pressed.png,resourcepacks,793,793 B,755,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/candy/comparison.png,global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/candy/comparison.png,global_packs,92960,90.78 KB,92995,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/left_stick_pressed_right.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/left_stick_pressed_right.png,resourcepacks,272,272 B,282,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/alpha/icon.png,global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/alpha/icon.png,global_packs,558,558 B,568,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/voicechat/textures/icons/device_selected.png,global_packs/required_resources/rcr-neoforge/assets/voicechat/textures/icons/device_selected.png,global_packs,133,133 B,141,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/right_bumper_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/right_bumper_pressed.png,resourcepacks,301,301 B,311,.png
overrides/config/modpack_defaults/resource_albums/city.json,config/modpack_defaults/resource_albums/city.json,config,459,459 B,227,.json
