path,category,file_size,file_size_human,compressed_size,extension
overrides/.addurdisc/assets/addurdisc/lang/en_us.json,.addurdisc,6042,5.90 KB,940,.json
overrides/.addurdisc/assets/addurdisc/lang/zh_cn.json,.addurdisc,6231,6.08 KB,2026,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_2_days_into_college.json,.addurdisc,91,91 B,80,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_a_oment_apart.json,.addurdisc,85,85 B,76,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_blush.json,.addurdisc,77,77 B,71,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_catch_my_breath.json,.addurdisc,87,87 B,77,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_counting_stars.json,.addurdisc,86,86 B,76,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_country_road.json,.addurdisc,84,84 B,75,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_country_road2.json,.addurdisc,85,85 B,77,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_crossroads_of_growth.json,.addurdisc,92,92 B,80,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_day_by_day.json,.addurdisc,82,82 B,74,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_evening.json,.addurdisc,79,79 B,72,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_everywhere_we_o.json,.addurdisc,87,87 B,77,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_factions_lofi.json,.addurdisc,85,85 B,76,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_fuerteventura.json,.addurdisc,85,85 B,76,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_gear_up.json,.addurdisc,79,79 B,72,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_gong_xi_fa_cai.json,.addurdisc,86,86 B,77,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_good_time.json,.addurdisc,81,81 B,73,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_hitchcock.json,.addurdisc,81,81 B,74,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_hometown.json,.addurdisc,80,80 B,73,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_i_really_want_to_stay_at_your_house.json,.addurdisc,107,107 B,90,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_i_remember.json,.addurdisc,82,82 B,73,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_kim_jessie.json,.addurdisc,82,82 B,74,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_luo_jing.json,.addurdisc,80,80 B,73,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_mango_nectar.json,.addurdisc,84,84 B,75,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_merry_christmas_mr_lawrence.json,.addurdisc,99,99 B,85,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_midnight_city.json,.addurdisc,85,85 B,76,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_miyazaki_hayao.json,.addurdisc,86,86 B,77,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_never_gonna_give_you_up.json,.addurdisc,95,95 B,82,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_only_the_unspoken_comes_to_mind.json,.addurdisc,103,103 B,87,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_say_it.json,.addurdisc,78,78 B,71,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_shelter.json,.addurdisc,79,79 B,72,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_shine.json,.addurdisc,77,77 B,71,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_shots.json,.addurdisc,77,77 B,71,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_summer_deream.json,.addurdisc,85,85 B,74,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_supreme.json,.addurdisc,79,79 B,72,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_to_the_south.json,.addurdisc,84,84 B,75,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_travelers_encore.json,.addurdisc,88,88 B,77,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_vhs.json,.addurdisc,75,75 B,70,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_viva_la_vida.json,.addurdisc,84,84 B,75,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_water_journey.json,.addurdisc,85,85 B,76,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_whispers_of_the_night.json,.addurdisc,93,93 B,81,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_worlds_smallest_violin.json,.addurdisc,94,94 B,81,.json
overrides/.addurdisc/assets/addurdisc/models/item/disc_you_gotta_move.json,.addurdisc,86,86 B,77,.json
